NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.8962920370158453, -0.24522765088282258]
NEAREST OBJECT: [0.8692683522609169, -0.2899329873057311]
NEAREST OBJECT: [0.8426887348614965, -0.3305716442728083]
NEAREST OBJECT: [0.8126553119555057, -0.3574680943885512]
NEAREST OBJECT: [0.8045679402927518, -0.39360964216521716]
NEAREST OBJECT: [0.7881284845596437, -0.4120942334080456]
NEAREST OBJECT: [0.7781897984719458, -0.4572435891776466]
NEAREST OBJECT: [0.7206228664532488, -0.6366659478616744]
NEAREST OBJECT: [0.7206228664532488, -0.6366659478616744]
NEAREST OBJECT: [0.7206228664532488, -0.6366659478616744]
NEAREST OBJECT: [0.7206228664532488, -0.6366659478616744]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
